plant,step,history_length,history_length_after,category,label,seconds,calls,interval_constructions,tensor_outputs,explicit_copy_events,step_seconds,boundary_sum_seconds,nonboundary_seconds,pass_kind,window,inplace_tensor_self_returns,tensor_result_creations,actual_entry_details,binding_details
brusselator,8,7,8,outside_boundary,nonboundary_or_unattributed,0.46447875117883086,0,297,122032,11690,1.286793848965317,0.8223150977864861,0.46447875117883086,exclusive_wall_timer,brusselator_early,646,121386,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,9,8,9,A,representation_and_coefficients,0.054499184247106314,236,5,16017,2030,1.2855019248090684,0.8295387453399599,0.4559631794691086,exclusive_wall_timer,brusselator_early,8,16009,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,9,8,9,B,point_substitution,0.0009704777039587498,3,0,344,0,1.2855019248090684,0.8295387453399599,0.4559631794691086,exclusive_wall_timer,brusselator_early,1,343,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,9,8,9,C,endpoint_error_and_ledger,0.018290454521775246,7,28,5276,118,1.2855019248090684,0.8295387453399599,0.4559631794691086,exclusive_wall_timer,brusselator_early,42,5234,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,9,8,9,D,polynomial_interval_range,0.65151830855757,264,11180,227278,44720,1.2855019248090684,0.8295387453399599,0.4559631794691086,exclusive_wall_timer,brusselator_early,0,227278,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,9,8,9,E,composition_and_cutoff,0.09081296110525727,181,1174,33254,5002,1.2855019248090684,0.8295387453399599,0.4559631794691086,exclusive_wall_timer,brusselator_early,0,33254,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,9,8,9,F,center_scale_and_maps,0.0018390538170933723,5,4,672,20,1.2855019248090684,0.8295387453399599,0.4559631794691086,exclusive_wall_timer,brusselator_early,0,672,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,9,8,9,G,history_checks_pack_propagate_commit,0.008156793657690287,30,52,3133,208,1.2855019248090684,0.8295387453399599,0.4559631794691086,exclusive_wall_timer,brusselator_early,0,3133,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,9,8,9,H,other_boundary,0.0034515117295086384,1,34,1064,136,1.2855019248090684,0.8295387453399599,0.4559631794691086,exclusive_wall_timer,brusselator_early,0,1064,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,9,8,9,outside_boundary,nonboundary_or_unattributed,0.4559631794691086,0,297,119280,10894,1.2855019248090684,0.8295387453399599,0.4559631794691086,exclusive_wall_timer,brusselator_early,646,118634,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
