window,plant,step,history_before,replay_calls,category,exclusive_seconds,inclusive_seconds_diagnostic_only,calls
brusselator_0101_0120,brusselator,109,108,9,refinement_dynamic,0.09396170359104872,1.3338283086195588,10
brusselator_0101_0120,brusselator,109,108,9,boundary_endpoint,0.12971369177103043,0.8071571537293494,2
brusselator_0101_0120,brusselator,109,108,9,cross_step_history,0.677443461958319,0.677443461958319,2
brusselator_0101_0120,brusselator,109,108,9,python_tensor_dispatch_and_other,0.036771764513105154,0.036771764513105154,1
brusselator_0101_0120,brusselator,110,109,9,polynomial_multiply_truncate_range,0.27285351464524865,0.27285351464524865,166
brusselator_0101_0120,brusselator,110,109,9,candidate_polynomial,0.026507230009883642,0.20589383179321885,1
brusselator_0101_0120,brusselator,110,109,9,initial_remainder,0.010380212683230639,0.07401435682550073,1
brusselator_0101_0120,brusselator,110,109,9,refinement_fixed_polynomial,0.576992766931653,0.576992766931653,351
brusselator_0101_0120,brusselator,110,109,9,refinement_dynamic,0.09518086770549417,1.3422930394299328,10
brusselator_0101_0120,brusselator,110,109,9,boundary_endpoint,0.1312216753140092,0.817962296307087,2
brusselator_0101_0120,brusselator,110,109,9,cross_step_history,0.6867406209930778,0.6867406209930778,2
brusselator_0101_0120,brusselator,110,109,9,python_tensor_dispatch_and_other,0.036587887443602085,0.036587887443602085,1
brusselator_0101_0120,brusselator,111,110,9,polynomial_multiply_truncate_range,0.27898503141477704,0.27898503141477704,166
brusselator_0101_0120,brusselator,111,110,9,candidate_polynomial,0.026434828527271748,0.20676750224083662,1
brusselator_0101_0120,brusselator,111,110,9,initial_remainder,0.01072733011096716,0.07655545603483915,1
brusselator_0101_0120,brusselator,111,110,9,refinement_fixed_polynomial,0.5764828347600996,0.5764828347600996,351
brusselator_0101_0120,brusselator,111,110,9,refinement_dynamic,0.0949030271731317,1.3407470327802002,10
brusselator_0101_0120,brusselator,111,110,9,boundary_endpoint,0.1306436825543642,0.8207646226510406,2
brusselator_0101_0120,brusselator,111,110,9,cross_step_history,0.6901209400966763,0.6901209400966763,2
brusselator_0101_0120,brusselator,111,110,9,python_tensor_dispatch_and_other,0.03674997854977846,0.03674997854977846,1
brusselator_0101_0120,brusselator,112,111,9,polynomial_multiply_truncate_range,0.2758232089690864,0.2758232089690864,166
brusselator_0101_0120,brusselator,112,111,9,candidate_polynomial,0.027099856175482273,0.2086717109195888,1
brusselator_0101_0120,brusselator,112,111,9,initial_remainder,0.010212719440460205,0.07406993815675378,1
brusselator_0101_0120,brusselator,112,111,9,refinement_fixed_polynomial,0.5770095498301089,0.5770095498301089,351
brusselator_0101_0120,brusselator,112,111,9,refinement_dynamic,0.09429627889767289,1.3406041176058352,10
